,Previsões
157,satisfeito
158,satisfeito
159,satisfeito
160,satisfeito
161,satisfeito
162,satisfeito
163,insatisfeito
164,satisfeito
165,satisfeito
166,satisfeito
167,satisfeito
168,satisfeito
169,satisfeito
170,satisfeito
171,satisfeito
172,satisfeito
173,satisfeito
174,satisfeito
175,satisfeito
176,satisfeito
177,satisfeito
178,satisfeito
179,satisfeito
180,satisfeito
181,satisfeito
182,satisfeito
183,satisfeito
184,satisfeito
185,satisfeito
186,satisfeito
187,satisfeito
188,satisfeito
189,satisfeito
190,satisfeito
191,satisfeito
192,satisfeito
193,satisfeito
194,satisfeito
195,satisfeito
196,satisfeito
197,satisfeito
198,satisfeito
199,satisfeito
200,satisfeito
201,satisfeito
202,satisfeito
203,satisfeito
204,satisfeito
205,satisfeito
206,satisfeito
207,satisfeito
208,satisfeito
209,satisfeito
210,insatisfeito
211,satisfeito
212,satisfeito
213,satisfeito
214,satisfeito
215,satisfeito
216,satisfeito
217,satisfeito
218,satisfeito
219,insatisfeito
220,satisfeito
221,satisfeito
222,satisfeito
223,satisfeito
224,satisfeito
225,satisfeito
226,satisfeito
227,satisfeito
228,satisfeito
229,satisfeito
230,insatisfeito
231,satisfeito
232,satisfeito
233,satisfeito
234,satisfeito
235,satisfeito
236,satisfeito
237,satisfeito
238,satisfeito
239,satisfeito
240,satisfeito
241,satisfeito
242,satisfeito
243,satisfeito
244,satisfeito
245,satisfeito
246,satisfeito
247,satisfeito
248,satisfeito
249,satisfeito
250,satisfeito
251,satisfeito
252,satisfeito
253,satisfeito
254,satisfeito
255,satisfeito
256,satisfeito
257,satisfeito
258,satisfeito
259,satisfeito
260,satisfeito
261,satisfeito
262,satisfeito
263,satisfeito
264,satisfeito
265,satisfeito
266,satisfeito
267,satisfeito
268,satisfeito
269,satisfeito
270,satisfeito
271,insatisfeito
272,satisfeito
273,satisfeito
274,satisfeito
275,satisfeito
276,satisfeito
277,satisfeito
278,satisfeito
279,satisfeito
280,satisfeito
281,satisfeito
282,satisfeito
283,satisfeito
284,satisfeito
285,satisfeito
286,satisfeito
287,satisfeito
288,satisfeito
289,satisfeito
290,satisfeito
291,satisfeito
292,satisfeito
293,satisfeito
294,satisfeito
295,satisfeito
296,satisfeito
297,satisfeito
298,satisfeito
299,satisfeito
300,satisfeito
301,satisfeito
302,satisfeito
303,satisfeito
304,satisfeito
305,satisfeito
306,satisfeito
307,satisfeito
308,satisfeito
309,satisfeito
310,satisfeito
311,satisfeito
312,satisfeito
313,satisfeito
314,satisfeito
315,satisfeito
316,satisfeito
317,satisfeito
318,satisfeito
319,satisfeito
320,satisfeito
321,satisfeito
322,satisfeito
323,satisfeito
324,satisfeito
325,satisfeito
326,satisfeito
327,satisfeito
328,satisfeito
329,satisfeito
330,satisfeito
331,satisfeito
332,satisfeito
333,insatisfeito
334,satisfeito
335,satisfeito
336,satisfeito
337,satisfeito
338,satisfeito
339,satisfeito
340,satisfeito
341,satisfeito
342,satisfeito
343,satisfeito
344,satisfeito
345,satisfeito
346,satisfeito
347,satisfeito
348,satisfeito
349,satisfeito
350,satisfeito
351,satisfeito
352,insatisfeito
353,satisfeito
354,satisfeito
355,satisfeito
356,satisfeito
357,satisfeito
358,satisfeito
359,satisfeito
360,satisfeito
361,satisfeito
362,satisfeito
363,satisfeito
364,satisfeito
365,insatisfeito
366,satisfeito
367,satisfeito
368,insatisfeito
369,satisfeito
370,satisfeito
371,satisfeito
372,satisfeito
373,satisfeito
374,satisfeito
375,satisfeito
376,satisfeito
377,satisfeito
378,satisfeito
379,satisfeito
380,satisfeito
381,satisfeito
382,satisfeito
383,satisfeito
384,satisfeito
385,insatisfeito
386,satisfeito
387,satisfeito
388,satisfeito
389,satisfeito
390,satisfeito
391,satisfeito
392,satisfeito
393,satisfeito
394,satisfeito
395,satisfeito
396,insatisfeito
397,insatisfeito
398,satisfeito
399,satisfeito
400,satisfeito
401,satisfeito
402,satisfeito
403,satisfeito
404,satisfeito
405,satisfeito
406,satisfeito
407,satisfeito
408,insatisfeito
409,satisfeito
410,satisfeito
411,satisfeito
412,satisfeito
413,satisfeito
414,satisfeito
415,satisfeito
416,satisfeito
417,satisfeito
418,satisfeito
419,satisfeito
420,satisfeito
421,satisfeito
422,satisfeito
423,satisfeito
424,satisfeito
425,satisfeito
426,satisfeito
427,satisfeito
428,satisfeito
429,satisfeito
430,satisfeito
431,satisfeito
432,satisfeito
433,satisfeito
434,satisfeito
435,satisfeito
436,satisfeito
437,satisfeito
438,satisfeito
439,satisfeito
440,satisfeito
441,satisfeito
442,satisfeito
443,satisfeito
444,satisfeito
445,satisfeito
446,satisfeito
447,satisfeito
448,satisfeito
449,satisfeito
450,satisfeito
451,satisfeito
452,satisfeito
453,satisfeito
454,insatisfeito
455,satisfeito
456,satisfeito
457,satisfeito
458,satisfeito
459,satisfeito
460,satisfeito
461,satisfeito
462,satisfeito
463,satisfeito
464,satisfeito
465,satisfeito
466,satisfeito
467,satisfeito
468,satisfeito
469,satisfeito
470,satisfeito
471,satisfeito
472,satisfeito
473,satisfeito
474,satisfeito
475,satisfeito
476,satisfeito
477,satisfeito
478,satisfeito
479,satisfeito
480,satisfeito
481,satisfeito
482,satisfeito
483,satisfeito
484,satisfeito
485,satisfeito
486,insatisfeito
487,satisfeito
488,satisfeito
489,satisfeito
490,satisfeito
491,satisfeito
492,satisfeito
493,satisfeito
494,satisfeito
495,satisfeito
496,satisfeito
497,satisfeito
498,satisfeito
499,satisfeito
500,satisfeito
501,insatisfeito
502,satisfeito
503,satisfeito
504,satisfeito
505,satisfeito
506,satisfeito
507,satisfeito
508,satisfeito
509,satisfeito
510,satisfeito
511,satisfeito
512,satisfeito
513,satisfeito
514,satisfeito
515,satisfeito
516,satisfeito
517,satisfeito
518,satisfeito
519,satisfeito
520,satisfeito
521,satisfeito
522,satisfeito
523,satisfeito
524,satisfeito
525,satisfeito
526,satisfeito
527,satisfeito
528,satisfeito
529,satisfeito
530,satisfeito
531,satisfeito
532,satisfeito
533,satisfeito
534,satisfeito
535,satisfeito
536,satisfeito
537,satisfeito
538,insatisfeito
539,satisfeito
540,satisfeito
541,satisfeito
542,insatisfeito
543,satisfeito
544,satisfeito
545,satisfeito
546,satisfeito
547,satisfeito
548,satisfeito
549,satisfeito
550,satisfeito
551,satisfeito
552,satisfeito
553,satisfeito
554,satisfeito
555,satisfeito
556,satisfeito
557,satisfeito
558,satisfeito
559,satisfeito
560,satisfeito
561,satisfeito
562,satisfeito
563,satisfeito
564,satisfeito
565,satisfeito
566,satisfeito
567,insatisfeito
568,satisfeito
569,satisfeito
570,satisfeito
571,satisfeito
572,satisfeito
573,satisfeito
574,satisfeito
575,satisfeito
576,satisfeito
577,satisfeito
578,satisfeito
579,insatisfeito
580,satisfeito
581,satisfeito
582,satisfeito
583,satisfeito
584,satisfeito
585,satisfeito
586,insatisfeito
587,satisfeito
588,insatisfeito
589,satisfeito
590,satisfeito
591,satisfeito
592,satisfeito
593,satisfeito
594,satisfeito
595,satisfeito
596,satisfeito
597,insatisfeito
598,satisfeito
599,satisfeito
600,satisfeito
601,satisfeito
602,satisfeito
603,satisfeito
604,satisfeito
605,satisfeito
606,satisfeito
607,satisfeito
608,satisfeito
609,satisfeito
610,satisfeito
611,satisfeito
612,satisfeito
613,insatisfeito
614,satisfeito
615,satisfeito
616,satisfeito
617,satisfeito
618,satisfeito
619,satisfeito
620,satisfeito
621,satisfeito
622,satisfeito
623,satisfeito
624,satisfeito
625,satisfeito
626,satisfeito
627,insatisfeito
628,satisfeito
629,insatisfeito
630,satisfeito
631,satisfeito
632,satisfeito
633,satisfeito
634,satisfeito
635,satisfeito
636,satisfeito
637,satisfeito
638,satisfeito
639,satisfeito
640,satisfeito
641,satisfeito
642,satisfeito
643,satisfeito
644,satisfeito
645,insatisfeito
646,satisfeito
647,satisfeito
648,satisfeito
649,satisfeito
650,satisfeito
651,satisfeito
652,insatisfeito
653,satisfeito
654,satisfeito
655,satisfeito
656,satisfeito
657,satisfeito
658,satisfeito
659,satisfeito
660,satisfeito
661,insatisfeito
662,satisfeito
663,satisfeito
664,satisfeito
665,satisfeito
666,satisfeito
667,satisfeito
668,satisfeito
669,satisfeito
670,satisfeito
671,satisfeito
672,satisfeito
673,satisfeito
674,satisfeito
675,satisfeito
676,satisfeito
677,satisfeito
678,insatisfeito
679,insatisfeito
680,insatisfeito
681,satisfeito
682,satisfeito
683,satisfeito
684,satisfeito
685,satisfeito
686,satisfeito
687,satisfeito
688,insatisfeito
689,satisfeito
690,insatisfeito
691,satisfeito
692,satisfeito
693,satisfeito
694,satisfeito
695,satisfeito
696,satisfeito
697,satisfeito
698,satisfeito
699,satisfeito
700,satisfeito
701,satisfeito
702,satisfeito
703,insatisfeito
704,satisfeito
705,satisfeito
706,satisfeito
707,satisfeito
708,satisfeito
709,satisfeito
710,satisfeito
711,satisfeito
712,satisfeito
713,satisfeito
714,satisfeito
715,satisfeito
716,satisfeito
717,satisfeito
718,satisfeito
719,satisfeito
720,satisfeito
721,satisfeito
722,satisfeito
723,satisfeito
724,satisfeito
725,satisfeito
726,satisfeito
727,satisfeito
728,satisfeito
729,satisfeito
730,satisfeito
731,satisfeito
732,satisfeito
733,satisfeito
734,satisfeito
735,insatisfeito
736,satisfeito
737,insatisfeito
738,satisfeito
739,satisfeito
740,satisfeito
741,insatisfeito
742,satisfeito
743,satisfeito
744,satisfeito
745,satisfeito
746,satisfeito
747,satisfeito
748,satisfeito
749,satisfeito
750,satisfeito
751,satisfeito
752,satisfeito
753,satisfeito
754,satisfeito
755,satisfeito
756,satisfeito
757,satisfeito
758,satisfeito
759,satisfeito
760,satisfeito
761,satisfeito
762,insatisfeito
763,satisfeito
764,insatisfeito
765,satisfeito
766,satisfeito
767,satisfeito
768,satisfeito
769,satisfeito
770,satisfeito
771,insatisfeito
772,insatisfeito
773,satisfeito
774,satisfeito
775,satisfeito
776,satisfeito
777,satisfeito
778,satisfeito
779,satisfeito
780,satisfeito
781,satisfeito
782,satisfeito
783,satisfeito
784,satisfeito
785,satisfeito
786,satisfeito
787,satisfeito
788,satisfeito
789,satisfeito
790,satisfeito
791,satisfeito
792,satisfeito
793,satisfeito
794,satisfeito
795,satisfeito
796,satisfeito
797,satisfeito
798,satisfeito
799,satisfeito
800,satisfeito
801,satisfeito
802,satisfeito
803,satisfeito
804,satisfeito
805,satisfeito
806,satisfeito
807,satisfeito
808,satisfeito
809,satisfeito
810,satisfeito
811,satisfeito
812,satisfeito
813,satisfeito
814,satisfeito
815,insatisfeito
816,satisfeito
817,satisfeito
818,satisfeito
819,satisfeito
820,satisfeito
821,satisfeito
822,satisfeito
823,insatisfeito
824,satisfeito
825,satisfeito
826,insatisfeito
827,satisfeito
828,satisfeito
829,satisfeito
830,satisfeito
831,satisfeito
832,satisfeito
833,satisfeito
834,satisfeito
835,satisfeito
836,satisfeito
837,satisfeito
838,satisfeito
839,satisfeito
840,satisfeito
841,satisfeito
842,satisfeito
843,satisfeito
844,satisfeito
845,satisfeito
846,satisfeito
847,satisfeito
848,satisfeito
849,satisfeito
850,satisfeito
851,satisfeito
852,satisfeito
853,satisfeito
854,satisfeito
855,satisfeito
856,satisfeito
857,satisfeito
858,satisfeito
859,insatisfeito
860,satisfeito
861,satisfeito
862,satisfeito
863,satisfeito
864,satisfeito
865,satisfeito
866,insatisfeito
867,satisfeito
868,satisfeito
869,satisfeito
870,satisfeito
871,satisfeito
872,satisfeito
873,satisfeito
874,satisfeito
875,satisfeito
876,satisfeito
877,satisfeito
878,satisfeito
879,satisfeito
880,satisfeito
881,satisfeito
882,satisfeito
883,satisfeito
884,satisfeito
885,satisfeito
886,satisfeito
887,satisfeito
888,satisfeito
889,satisfeito
890,satisfeito
891,satisfeito
892,satisfeito
893,satisfeito
894,satisfeito
895,satisfeito
896,satisfeito
897,satisfeito
898,satisfeito
899,satisfeito
900,satisfeito
901,satisfeito
902,satisfeito
903,satisfeito
904,satisfeito
905,satisfeito
906,satisfeito
907,satisfeito
908,satisfeito
909,insatisfeito
910,satisfeito
911,satisfeito
912,satisfeito
913,satisfeito
914,satisfeito
915,satisfeito
916,satisfeito
917,satisfeito
918,satisfeito
919,satisfeito
920,satisfeito
921,satisfeito
922,satisfeito
923,satisfeito
924,satisfeito
925,satisfeito
926,satisfeito
927,satisfeito
928,insatisfeito
929,satisfeito
930,satisfeito
931,satisfeito
932,satisfeito
933,satisfeito
934,satisfeito
935,satisfeito
936,insatisfeito
937,satisfeito
938,satisfeito
939,insatisfeito
940,satisfeito
941,satisfeito
942,satisfeito
943,satisfeito
944,satisfeito
945,satisfeito
946,satisfeito
947,satisfeito
948,satisfeito
949,satisfeito
950,insatisfeito
951,insatisfeito
952,satisfeito
953,satisfeito
954,satisfeito
955,insatisfeito
956,satisfeito
957,satisfeito
958,satisfeito
959,satisfeito
960,satisfeito
961,satisfeito
962,satisfeito
963,satisfeito
964,satisfeito
965,satisfeito
966,satisfeito
967,satisfeito
968,satisfeito
969,satisfeito
970,satisfeito
971,satisfeito
972,satisfeito
973,satisfeito
974,satisfeito
975,satisfeito
976,satisfeito
977,satisfeito
978,satisfeito
979,satisfeito
980,satisfeito
981,satisfeito
982,satisfeito
983,satisfeito
984,satisfeito
985,satisfeito
986,satisfeito
987,satisfeito
988,satisfeito
989,satisfeito
990,satisfeito
991,satisfeito
992,satisfeito
993,satisfeito
994,satisfeito
995,satisfeito
996,satisfeito
997,satisfeito
998,satisfeito
999,satisfeito
1000,satisfeito
1001,satisfeito
1002,satisfeito
1003,satisfeito
1004,satisfeito
1005,satisfeito
1006,insatisfeito
1007,satisfeito
1008,satisfeito
1009,satisfeito
1010,satisfeito
1011,satisfeito
1012,satisfeito
1013,satisfeito
1014,satisfeito
1015,satisfeito
1016,satisfeito
1017,satisfeito
1018,satisfeito
1019,satisfeito
1020,satisfeito
1021,insatisfeito
1022,satisfeito
1023,satisfeito
1024,insatisfeito
1025,satisfeito
1026,satisfeito
1027,satisfeito
1028,insatisfeito
1029,satisfeito
1030,satisfeito
1031,satisfeito
1032,satisfeito
1033,satisfeito
1034,satisfeito
1035,satisfeito
1036,insatisfeito
1037,satisfeito
1038,satisfeito
1039,satisfeito
1040,satisfeito
1041,satisfeito
1042,satisfeito
1043,satisfeito
1044,satisfeito
1045,satisfeito
1046,satisfeito
1047,satisfeito
1048,satisfeito
1049,satisfeito
1050,satisfeito
1051,satisfeito
1052,satisfeito
1053,satisfeito
1054,satisfeito
1055,satisfeito
1056,satisfeito
1057,satisfeito
1058,satisfeito
1059,satisfeito
1060,satisfeito
1061,satisfeito
1062,satisfeito
1063,satisfeito
1064,satisfeito
1065,satisfeito
1066,satisfeito
1067,satisfeito
1068,satisfeito
1069,satisfeito
1070,satisfeito
1071,satisfeito
1072,satisfeito
1073,satisfeito
1074,satisfeito
1075,satisfeito
1076,satisfeito
1077,satisfeito
1078,satisfeito
1079,satisfeito
1080,satisfeito
1081,satisfeito
1082,satisfeito
1083,insatisfeito
1084,satisfeito
1085,satisfeito
1086,satisfeito
1087,insatisfeito
1088,satisfeito
1089,satisfeito
1090,satisfeito
1091,satisfeito
1092,satisfeito
1093,satisfeito
1094,satisfeito
1095,satisfeito
1096,satisfeito
1097,satisfeito
1098,insatisfeito
1099,satisfeito
1100,satisfeito
1101,satisfeito
1102,satisfeito
1103,satisfeito
1104,satisfeito
1105,satisfeito
1106,satisfeito
1107,satisfeito
1108,satisfeito
1109,satisfeito
1110,satisfeito
1111,satisfeito
1112,satisfeito
1113,satisfeito
1114,satisfeito
1115,satisfeito
1116,satisfeito
1117,satisfeito
1118,satisfeito
1119,satisfeito
1120,satisfeito
1121,satisfeito
1122,satisfeito
1123,satisfeito
1124,satisfeito
1125,satisfeito
1126,satisfeito
1127,satisfeito
1128,satisfeito
1129,satisfeito
1130,satisfeito
1131,insatisfeito
1132,satisfeito
1133,satisfeito
1134,satisfeito
1135,satisfeito
1136,satisfeito
1137,satisfeito
1138,satisfeito
1139,satisfeito
1140,satisfeito
1141,satisfeito
1142,satisfeito
1143,insatisfeito
1144,insatisfeito
1145,satisfeito
1146,satisfeito
1147,satisfeito
1148,insatisfeito
1149,satisfeito
1150,satisfeito
1151,satisfeito
1152,satisfeito
1153,satisfeito
1154,insatisfeito
1155,satisfeito
1156,satisfeito
1157,satisfeito
1158,satisfeito
1159,satisfeito
1160,satisfeito
1161,satisfeito
1162,satisfeito
1163,satisfeito
1164,satisfeito
1165,satisfeito
1166,satisfeito
1167,satisfeito
1168,satisfeito
1169,satisfeito
1170,satisfeito
1171,satisfeito
1172,satisfeito
1173,satisfeito
1174,satisfeito
1175,satisfeito
1176,satisfeito
1177,satisfeito
1178,satisfeito
1179,satisfeito
1180,insatisfeito
1181,satisfeito
1182,satisfeito
1183,satisfeito
1184,satisfeito
1185,satisfeito
1186,insatisfeito
1187,satisfeito
1188,satisfeito
1189,satisfeito
1190,satisfeito
1191,satisfeito
1192,satisfeito
1193,satisfeito
1194,satisfeito
1195,satisfeito
1196,satisfeito
1197,insatisfeito
1198,insatisfeito
1199,satisfeito
1200,satisfeito
1201,satisfeito
1202,satisfeito
1203,satisfeito
1204,satisfeito
1205,satisfeito
1206,satisfeito
1207,satisfeito
1208,satisfeito
1209,satisfeito
1210,satisfeito
1211,satisfeito
1212,satisfeito
1213,satisfeito
1214,satisfeito
1215,satisfeito
1216,satisfeito
1217,satisfeito
1218,satisfeito
1219,satisfeito
1220,satisfeito
1221,satisfeito
1222,satisfeito
1223,satisfeito
1224,satisfeito
1225,insatisfeito
1226,satisfeito
1227,satisfeito
1228,satisfeito
1229,satisfeito
1230,satisfeito
1231,satisfeito
1232,satisfeito
1233,satisfeito
1234,satisfeito
1235,satisfeito
1236,satisfeito
1237,satisfeito
1238,satisfeito
1239,satisfeito
1240,satisfeito
1241,satisfeito
1242,insatisfeito
1243,satisfeito
1244,insatisfeito
1245,satisfeito
1246,satisfeito
1247,satisfeito
1248,insatisfeito
1249,satisfeito
1250,satisfeito
1251,satisfeito
1252,satisfeito
1253,satisfeito
1254,insatisfeito
1255,satisfeito
1256,satisfeito
1257,satisfeito
1258,satisfeito
1259,satisfeito
1260,satisfeito
1261,satisfeito
1262,satisfeito
1263,satisfeito
1264,insatisfeito
1265,satisfeito
1266,satisfeito
1267,satisfeito
1268,satisfeito
1269,satisfeito
1270,satisfeito
1271,satisfeito
1272,satisfeito
1273,satisfeito
1274,satisfeito
1275,satisfeito
1276,satisfeito
1277,satisfeito
1278,satisfeito
1279,satisfeito
1280,satisfeito
1281,satisfeito
1282,satisfeito
1283,satisfeito
1284,satisfeito
1285,satisfeito
1286,satisfeito
1287,satisfeito
1288,satisfeito
1289,satisfeito
1290,satisfeito
1291,satisfeito
1292,satisfeito
1293,satisfeito
1294,satisfeito
1295,insatisfeito
1296,satisfeito
1297,satisfeito
1298,satisfeito
1299,satisfeito
1300,insatisfeito
1301,satisfeito
1302,satisfeito
1303,satisfeito
1304,satisfeito
1305,satisfeito
1306,satisfeito
1307,satisfeito
1308,satisfeito
1309,satisfeito
1310,satisfeito
1311,satisfeito
1312,satisfeito
1313,satisfeito
1314,satisfeito
1315,satisfeito
1316,satisfeito
1317,satisfeito
1318,satisfeito
1319,satisfeito
1320,satisfeito
1321,satisfeito
1322,satisfeito
1323,satisfeito
1324,satisfeito
1325,satisfeito
1326,satisfeito
1327,satisfeito
1328,satisfeito
1329,satisfeito
1330,satisfeito
1331,satisfeito
1332,satisfeito
1333,satisfeito
1334,satisfeito
1335,satisfeito
1336,satisfeito
1337,satisfeito
1338,satisfeito
1339,satisfeito
1340,satisfeito
1341,satisfeito
1342,satisfeito
1343,satisfeito
1344,insatisfeito
1345,satisfeito
1346,satisfeito
1347,satisfeito
1348,insatisfeito
1349,satisfeito
1350,satisfeito
1351,satisfeito
1352,satisfeito
1353,satisfeito
1354,satisfeito
1355,satisfeito
1356,satisfeito
1357,satisfeito
1358,insatisfeito
1359,satisfeito
1360,satisfeito
1361,satisfeito
1362,satisfeito
1363,satisfeito
1364,satisfeito
1365,satisfeito
1366,satisfeito
1367,satisfeito
1368,satisfeito
1369,satisfeito
1370,insatisfeito
1371,satisfeito
1372,satisfeito
1373,satisfeito
1374,satisfeito
1375,satisfeito
1376,satisfeito
1377,satisfeito
1378,satisfeito
1379,insatisfeito
1380,satisfeito
1381,satisfeito
1382,satisfeito
1383,satisfeito
1384,satisfeito
1385,satisfeito
1386,satisfeito
1387,satisfeito
1388,satisfeito
1389,satisfeito
1390,satisfeito
1391,satisfeito
1392,satisfeito
1393,satisfeito
1394,satisfeito
1395,satisfeito
1396,satisfeito
1397,satisfeito
1398,satisfeito
1399,insatisfeito
1400,satisfeito
1401,satisfeito
1402,satisfeito
1403,satisfeito
1404,satisfeito
1405,satisfeito
1406,satisfeito
1407,satisfeito
1408,satisfeito
1409,satisfeito
1410,satisfeito
1411,satisfeito
1412,satisfeito
1413,satisfeito
1414,satisfeito
1415,satisfeito
1416,satisfeito
1417,insatisfeito
1418,satisfeito
1419,satisfeito
1420,satisfeito
1421,satisfeito
1422,satisfeito
1423,satisfeito
1424,insatisfeito
1425,satisfeito
1426,satisfeito
1427,insatisfeito
1428,satisfeito
1429,satisfeito
1430,satisfeito
1431,satisfeito
1432,satisfeito
1433,insatisfeito
1434,satisfeito
1435,satisfeito
1436,satisfeito
1437,satisfeito
1438,satisfeito
1439,satisfeito
1440,satisfeito
1441,satisfeito
1442,satisfeito
1443,satisfeito
1444,satisfeito
1445,satisfeito
1446,satisfeito
1447,satisfeito
1448,satisfeito
1449,satisfeito
1450,satisfeito
1451,satisfeito
1452,satisfeito
1453,satisfeito
1454,satisfeito
1455,satisfeito
1456,satisfeito
1457,satisfeito
1458,satisfeito
1459,satisfeito
1460,satisfeito
1461,satisfeito
1462,satisfeito
1463,insatisfeito
1464,satisfeito
1465,satisfeito
1466,satisfeito
1467,satisfeito
1468,satisfeito
1469,satisfeito
1470,satisfeito
1471,satisfeito
1472,satisfeito
1473,satisfeito
1474,satisfeito
1475,satisfeito
1476,satisfeito
1477,satisfeito
1478,satisfeito
1479,satisfeito
1480,satisfeito
1481,satisfeito
1482,satisfeito
1483,satisfeito
1484,satisfeito
1485,satisfeito
1486,satisfeito
1487,satisfeito
1488,satisfeito
1489,satisfeito
1490,satisfeito
1491,satisfeito
1492,satisfeito
1493,satisfeito
1494,satisfeito
1495,satisfeito
1496,satisfeito
1497,satisfeito
1498,satisfeito
1499,satisfeito
1500,satisfeito
1501,satisfeito
1502,satisfeito
1503,satisfeito
1504,satisfeito
1505,satisfeito
1506,satisfeito
1507,satisfeito
1508,satisfeito
1509,satisfeito
1510,satisfeito
1511,satisfeito
1512,insatisfeito
1513,insatisfeito
1514,insatisfeito
1515,insatisfeito
1516,insatisfeito
1517,satisfeito
1518,insatisfeito
1519,satisfeito
1520,satisfeito
1521,satisfeito
1522,insatisfeito
1523,satisfeito
1524,satisfeito
1525,satisfeito
1526,satisfeito
1527,satisfeito
1528,satisfeito
1529,satisfeito
1530,satisfeito
1531,satisfeito
1532,satisfeito
1533,satisfeito
1534,satisfeito
1535,satisfeito
1536,satisfeito
1537,satisfeito
1538,satisfeito
1539,insatisfeito
1540,satisfeito
1541,satisfeito
1542,satisfeito
1543,satisfeito
1544,satisfeito
1545,satisfeito
1546,satisfeito
1547,satisfeito
1548,satisfeito
1549,satisfeito
1550,satisfeito
1551,satisfeito
1552,satisfeito
1553,insatisfeito
1554,satisfeito
1555,satisfeito
1556,insatisfeito
1557,satisfeito
1558,satisfeito
1559,satisfeito
1560,satisfeito
1561,satisfeito
1562,satisfeito
1563,satisfeito
1564,satisfeito
1565,insatisfeito
1566,satisfeito
1567,satisfeito
1568,satisfeito
1569,satisfeito
1570,satisfeito
1571,satisfeito
1572,satisfeito
1573,insatisfeito
1574,satisfeito
1575,satisfeito
1576,satisfeito
1577,satisfeito
1578,satisfeito
1579,satisfeito
1580,satisfeito
1581,satisfeito
1582,satisfeito
1583,satisfeito
1584,satisfeito
1585,satisfeito
1586,satisfeito
1587,satisfeito
1588,satisfeito
1589,satisfeito
1590,satisfeito
1591,satisfeito
1592,satisfeito
1593,satisfeito
1594,satisfeito
1595,satisfeito
1596,satisfeito
1597,satisfeito
1598,satisfeito
1599,satisfeito
1600,satisfeito
1601,satisfeito
1602,satisfeito
1603,insatisfeito
1604,satisfeito
1605,satisfeito
1606,satisfeito
1607,satisfeito
1608,satisfeito
1609,satisfeito
1610,satisfeito
1611,satisfeito
1612,satisfeito
1613,satisfeito
1614,satisfeito
1615,satisfeito
1616,satisfeito
1617,insatisfeito
1618,satisfeito
1619,satisfeito
1620,satisfeito
1621,satisfeito
1622,satisfeito
1623,satisfeito
1624,satisfeito
1625,insatisfeito
1626,satisfeito
1627,satisfeito
1628,satisfeito
1629,satisfeito
1630,satisfeito
1631,satisfeito
1632,satisfeito
1633,satisfeito
1634,satisfeito
1635,satisfeito
1636,satisfeito
1637,satisfeito
1638,satisfeito
1639,satisfeito
1640,satisfeito
1641,satisfeito
1642,insatisfeito
1643,satisfeito
1644,satisfeito
1645,satisfeito
1646,satisfeito
1647,satisfeito
1648,satisfeito
1649,insatisfeito
1650,satisfeito
